firstname,lastname,city,year,ethnicity
Courtney,Welch,Emeryville,2021,white
Kalimah,Priforce,Emeryville,2022,black
David,Mourra,Emeryville,2022,white
Teresa,Barth,ENCINITAS,2010,white
Kristin,Gaspar,ENCINITAS,2010,white
Lisa,Shaffer,Encinitas,2012,white
Tony,Kranz,Encinitas,2012,white
Mark,Muir,Encinitas,2012,white
Catherine,Blakespear,Encinitas,2014,white
Tony,Kranz,Encinitas,2016,white
T.,Horvath,Encinitas,2016,white
Mark,Muir,Encinitas,2016,white
Jody,Hubbard,Encinitas,2018,white
Joe,Mosca,Encinitas,2018,white
Tony,Kranz,Encinitas,2020,white
Kellie,Hinze,Encinitas,2020,white
Joy,Lyndes,Encinitas,2022,white
Bruce,Ehlers,Encinitas,2022,white
Ed,Alves,ESCALON,2010,white
Danny,Fox,ESCALON,2010,white
Robert,Swift,ESCALON,2010,white
Jeff,Laugero,Escalon,2016,white
Walter,Murken,Escalon,2016,white
Ed,Alves,Escalon,2018,white
Peter,Krumeich,Escalon,2018,white
Robert,Swift,Escalon,2018,white
Andrew,Hagan,Escalon,2022,white
Jeremy,Engle,Escalon,2022,white
Malinda,Walker,Escalon,2022,white
Shawn,Strohman,Escalon,2022,white
Ed,Gallo,ESCONDIDO,2010,white
Marie,Waldron,ESCONDIDO,2010,white
Mike,Morasco,Escondido,2012,hispanic
Olga,Diaz,Escondido,2012,hispanic
Ed,Gallo,Escondido,2014,white
Nicole,Downey,Escondido,2014,white
Chad,Hunziker,Escondido,2014,white
John,Masson,Escondido,2014,white
Pick,Paul,Escondido,2014,white
Olga,Diaz,Escondido,2016,hispanic
Mike,Moraso,Escondido,2016,hispanic
Consuelo,Martinez,Escondido,2018,hispanic
John,Masson,Escondido,2018,white
Tina,Inscoe,Escondido,2020,white
Joe,Garcia,Escondido,2020,hispanic
Mike,Morasco,Escondido,2020,hispanic
Consuelo,Martinez,Escondido,2022,hispanic
Joe,Garcia,Escondido,2022,hispanic
Jay,Martin,ETNA,2010,white
Bob,Prather,ETNA,2010,white
David,Stein,ETNA,2010,white
Lorraine,Fleck,Etna,2012,white
Marilyn,Seward,Etna,2012,white
Marian,Brady,EUREKA,2010,white
Mike,Newman,EUREKA,2010,white
Lance,Madsen,EUREKA,2010,white
Melinda,Ciarabellini,Eureka,2012,white
Linda,Atkins,Eureka,2012,white
Marian,Brady,Eureka,2014,white
Kim,Bergel,Eureka,2014,white
Natalie,Arroyo,Eureka,2014,hispanic
Heidi,Messner,Eureka,2016,white
Austin,Allison,Eureka,2016,white
Leslie,Catellano,Eureka,2018,hispanic
Natalie,Arroyo,Eureka,2018,hispanic
Kim,Bergel,Eureka,2018,white
Kati,Moulton,Eureka,2020,white
Scott,Bauer,Eureka,2020,white
Leslie,Castellano,Eureka,2022,white
G.,Fernandez,Eureka,2022,hispanic
Renee,Deloach,Eureka,2022,white
Jack,Allwardt,EXETER,2010,black
Teresa,Boyce,EXETER,2010,white
E.W.,Macaulay,EXETER,2010,white
W.,Sally Jr.,Exeter,2012,white
Robyn,Stearns,Exeter,2012,white
Mary,Waterman,Exeter,2014,white
Gordon,Gerdes,Exeter,2014,white
Teresa,Boyce,Exeter,2014,white
Teresa,Boyce,Exeter,2018,white
Frankie,Alves,Exeter,2022,white
Vicki,Riddle,Exeter,2022,white
Larry,Bragman,Fairfax,2011,white
Ryan,O'Neil,Fairfax,2011,white
Barbara,Coler,Fairfax,2013,white
David,Weinsoff,Fairfax,2013,white
John,Reed,Fairfax,2013,white
Renee,Goddard,Fairfax,2013,white
Bruce,Ackerman,Fairfax,2017,white
Barbara,Coler,Fairfax,2017,white
John,Reed,Fairfax,2017,white
Renee,Goddard,Fairfax,2019,white
Stephanie,Hellman,Fairfax,2019,white
Chance,Cutrano,Fairfax,2020,white
Bruce,Ackerman,Fairfax,2020,white
Barbara,Coler,Fairfax,2020,white
Stephanie,Hellman,Fairfax,2022,white
Lisel,Blash,Fairfax,2022,white
Pam,Bertani,Fairfield,2011,white
Rick,Vaccaro,Fairfield,2011,white
Catherine,Moy,Fairfield,2014,asian
Chuck,Timm,Fairfield,2014,white
Rick,Vaccaro,Fairfield,2016,white
Pam,Bertani,Fairfield,2016,white
Catherine,Moy,Fairfield,2018,asian
Chuck,Timm,Fairfield,2018,white
Scott,Tonnesen,Fairfield,2020,white
Doriss,Panduro,Fairfield,2020,hispanic
Rick,Vaccaro,Fairfield,2020,white
Pam,Bertani,Fairfield,2020,white
K.,Williams,Fairfield,2022,black
Doug,Carr,Fairfield,2022,white
Doriss,Panduro,Fairfield,2022,hispanic
Leonel,Benavides,FARMERSVILLE,2010,hispanic
Larry,Miller,FARMERSVILLE,2010,white
Michael,Santana,FARMERSVILLE,2010,hispanic
Greg,Gomez,Farmersville,2012,hispanic
Don,Rowlett,Farmersville,2012,white
Paul,Boyer,Farmersville,2014,white
Matt,Sisk,Farmersville,2014,white
Freddy,"Espinoza, Jr.",Farmersville,2014,hispanic
Rosa,Vasquez,Farmersville,2016,hispanic
Gregorio,Gomez,Farmersville,2016,hispanic
Paul,Boyer,Farmersville,2018,white
Tina,Hernandez,Farmersville,2018,hispanic
Ruben,Macareno,Farmersville,2018,hispanic
Paul,Boyer,Farmersville,2022,white
Armando,Hinojosa,Farmersville,2022,hispanic
Tina,Hernandez,Farmersville,2022,hispanic
Niels,Lorenzen,FERNDALE,2010,white
John,Maxwell,FERNDALE,2010,white
Daniel,Brown,Ferndale,2012,black
Ken,Mierzwa,Ferndale,2012,white
Michael,Sweeney,Ferndale,2014,white
Doug,Brower,Ferndale,2014,white
Daniel,Brown,Ferndale,2016,black
Stephen,Avis,Ferndale,2018,white
Robin,Smith,Ferndale,2018,black
Jennifer,Fisk-Becker,Ferndale,2018,white
Leonard,Lund,Ferndale,2020,white
Phillip,Ostler,Ferndale,2020,white
Jennifer,Fisk-Becker,Ferndale,2022,white
Alan,Jorgensen,Ferndale,2022,white
Brian,Sipes,FILLMORE,2010,white
Patti,Walker,FILLMORE,2010,white
Rick,Neal,Fillmore,2012,white
Manuel,Minjares,Fillmore,2012,hispanic
Douglas,Tucker,Fillmore,2012,white
Diane,McCall,Fillmore,2014,white
Carrie,Broggie,Fillmore,2014,white
Manuel,Minjares,Fillmore,2016,hispanic
Mark,Austin,Fillmore,2016,white
Tim,Holmgren,Fillmore,2016,white
Ari,Larson,Fillmore,2020,white
Christina,Villaseñor,Fillmore,2020,hispanic
Mark,Austin,Fillmore,2020,white
Carrie,Broggie,Fillmore,2022,white
Albert,Mendez,Fillmore,2022,hispanic
Christopher,Gurrola,Fillmore,2022,hispanic
Lynn,Edmonds,Filmore,2018,white
Diane,McCall,Filmore,2018,white
Christopher,DeFrancesco,FIREBAUGH,2010,white
Marcia,Sablan,FIREBAUGH,2010,white
Craig,Knight,Firebaugh,2012,white
Freddy,Valdez,Firebaugh,2012,hispanic
Brady,Jenkins Jr.,Firebaugh,2012,white
Marcia,Sablan,Firebaugh,2014,white
Felipe,Perez,Firebaugh,2014,hispanic
Elsa,Lopez,Firebaugh,2016,hispanic
Freddy,Valdez,Firebaugh,2016,hispanic
Brady,Jenkins,Firebaugh,2016,white
Felipe,Perez,Firebaugh,2018,hispanic
Marcia,Sablan,Firebaugh,2018,white
Brady,"Jenkins, Jr.",Firebaugh,2020,white
Elsa,Lopez,Firebaugh,2020,hispanic
Alfred,Valdez,Firebaugh,2020,hispanic
Silvia,Renteria,Firebaugh,2022,hispanic
Felipe,Perez,Firebaugh,2022,hispanic
Kerri,Howell,FOLSOM,2010,white
Steve,Miklos,FOLSOM,2010,hispanic
Andy,Morin,FOLSOM,2010,white
Jeff,Starksy,Folsom,2012,white
Ernie,Sheldon,Folsom,2012,white
Kerri,Howell,Folsom,2014,white
Andy,Morin,Folsom,2014,white
Steve,Miklos,Folsom,2014,hispanic
Ernie,Sheldon,Folsom,2016,white
Roger,"Gaylord, III",Folsom,2016,white
Sarah,Aquino,Folsom,2018,hispanic
Kerri,Howell,Folsom,2018,white
Mike,Kozlowski,Folsom,2018,white
Yk,Chalamcherla,Folsom,2020,white
Rosario,Rodriguez,Folsom,2020,hispanic
Mike,Kozlowski,Folsom,2022,white
Sarah,Aquino,Folsom,2022,hispanic
Anna,Rohrbough,Folsom,2022,white
John,Roberts,FONTANA,2010,white
Michael,Tahan,FONTANA,2010,white
Jesus,Sandoval,Fontana,2012,hispanic
Lydia,Wibert,Fontana,2012,white
John,Roberts,Fontana,2014,white
Michael,Tahan,Fontana,2014,white
Jesus,Sandoval,Fontana,2016,hispanic
Jesse,Armendarez,Fontana,2016,hispanic
Phillip,Cothran,Fontana,2018,white
John,Roberts,Fontana,2018,white
Peter,Garcia,Fontana,2020,hispanic
Jesus,Sandoval,Fontana,2020,hispanic
Phillip,Cothran,Fontana,2022,white
John,Roberts,Fontana,2022,white
Scott,Deitz,Fort Bragg,2012,white
Doug,Hammerstrom,Fort Bragg,2012,white
Heidi,Kraut,Fort Bragg,2013,white
Lindy,Peters,Fort Bragg,2014,white
Michael,Cimolino,Fort Bragg,2014,white
Dave,Turner,Fort Bragg,2014,black
Will,Lee,Fort Bragg,2016,asian
Bernie,Norvell,Fort Bragg,2016,white
Tess,Albin-Smith,Fort Bragg,2018,white
Jessica,Morsell-Haye,Fort Bragg,2018,white
Lindy,Peters,Fort Bragg,2018,white
Jason,Godeke,Fort Bragg,2022,white
Marcia,Rafanan,Fort Bragg,2022,asian
Michelle,Roberts,Fort Bragg,2022,white
Lindy,Peters,Fort Bragg,2022,white
Chris,Flynn,Fort Jones,2017,white
Bill,Beckwith,Fort Jones,2018,white
Michelle,DeCausmaker,Fort Jones,2018,white
Mercedes,Garcia,Fort Jones,2018,hispanic
Kathye,Banks,Fort Jones,2020,black
Christian,Sherfy,Fort Jones,2020,white
Dean,Glaser,FORTUNA,2010,white
Sue,Long,FORTUNA,2010,white
Mike,Losey,FORTUNA,2010,white
Tami,Gillam-Trent,Fortuna,2012,white
Douglas,Strehl,Fortuna,2012,white
Sue,Long,Fortuna,2014,white
Linda,Gardner,Fortuna,2014,white
Tiara,Brown,Fortuna,2014,black
Dean,Glaser,Fortuna,2016,white
Tami,Trent,Fortuna,2016,white
Mike,Johnson,Fortuna,2018,black
Sue,Long,Fortuna,2018,white
Jeremy,Stanfield,Fortuna,2018,white
Mike,Losey,Fortuna,2020,white
Tami,Trent,Fortuna,2020,white
Mike,Johnson,Fortuna,2022,black
Christina,Mobley,Fortuna,2022,white
Kyle,Conley,Fortuna,2022,white
Sam,Hindi,Foster,2015,white
Herb,Perez,Foster,2015,hispanic
Catherine,Mahanpour,Foster,2015,white
Patrick,Sullivan,Foster,2020,black
Jon,Froomin,Foster,2020,white
Sam,Hindi,Foster,2020,white
Steve,Okamoto,Foster City,2011,asian
Art,Kiesel,Foster City,2011,white
Herb,Perez,Foster City,2011,hispanic
Charlie,Bronitsky,Foster City,2013,white
Gary,Pollard,Foster City,2013,white
Richa,Awasthi,Foster City,2018,asian
Sanjay,Gehani,Foster City,2018,asian
Jon,Froomlin,Foster City,2020,white
Stacy,Jimenez,Foster City,2022,hispanic
Art,Kiesel,Foster City,2022,white
John,Collins,FOUNTAIN VALLEY,2010,white
Mark,McCurdy,FOUNTAIN VALLEY,2010,white
Michael,Vo,FOUNTAIN VALLEY,2010,asian
Cheryl,Brothers,Fountain Valley,2012,white
Steve,Nagel,Fountain Valley,2012,white
Mark,McCurdy,Fountain Valley,2014,white
Michael,Vo,Fountain Valley,2014,asian
John,Collins,Fountain Valley,2014,white
Steve,Nagel,Fountain Valley,2016,white
Cheryl,Brothers,Fountain Valley,2016,white
Kim,Constantine,Fountain Valley,2018,white
Patrick,Harper,Fountain Valley,2018,white
Michael,Vo,Fountain Valley,2018,asian
Ted,Bui,Fountain Valley,2020,asian
Glenn,Grandis,Fountain Valley,2020,white
Jim,Cunneen,Fountain Valley,2022,white
Kim,Constantine,Fountain Valley,2022,white
Patrick,Harper,Fountain Valley,2022,white
David,Cardenas,FOWLER,2010,hispanic
Jim,Simonian,FOWLER,2010,white
Sandie,Monis,Fowler,2012,white
Leonard,Hammer,Fowler,2012,white
Daniel,Parra,Fowler,2012,hispanic
Daniel,Parra,Fowler,2016,hispanic
Karnig,Kazarian,Fowler,2016,white
Leonard,Hammer,Fowler,2016,white
David,Cardenas,Fowler,2018,hispanic
Mark,Rodriquez,Fowler,2018,hispanic
Juan,Mejia,Fowler,2020,hispanic
Karnig,Kazarian,Fowler,2020,white
Daniel,Parra,Fowler,2020,hispanic
Amarjeet,Gill,Fowler,2022,white
Leonard,Hammer,Fowler,2022,white
Bill,Harrison,FREMONT,2010,white
Anu,Natarajan,FREMONT,2010,asian
Vinnie,Bacon,Fremont,2012,white
Suzanne,Chan,Fremont,2012,asian
Lily,Mei,Fremont,2014,asian
Rick,Jones,Fremont,2014,black
Vinnie,Bacon,Fremont,2016,white
Raj,Salwan,Fremont,2016,asian
Teresa,Keng,Fremont,2018,asian
Rick,Jones,Fremont,2018,black
Jenny,Kassan,Fremont,2018,white
Yang,Shao,Fremont,2018,asian
Teresa,Cox,Fremont,2020,white
Teresa,Keng,Fremont,2020,asian
Raj,Salwan,Fremont,2020,asian
Desrie,Campbell,Fremont,2022,white
Jenny,Kassan,Fremont,2022,white
Yang,Shao,Fremont,2022,asian
Blong,Xiong,FRESNO,2010,asian
Clint,Olivier,FRESNO,2010,white
Oliver,Baines,FRESNO,2010,white
Sal,Quintero,FRESNO,2010,hispanic
Pat,Di Cicco,Fresno,2012,white
Paul,Caprioglio,Fresno,2012,white
Lee,Brand,Fresno,2012,white
Steve,Brandau,Fresno,2012,white
Oliver,Baines,Fresno,2014,white
Sal,Quintero,Fresno,2014,hispanic
Clint,Olivier,Fresno,2014,white
Esmerelda,Soria,Fresno,2014,hispanic
Steve,Brandau,Fresno,2016,white
Paul,Caprioglio,Fresno,2016,white
Luis,Chavez,Fresno,2016,hispanic
Garry,Bredefeld,Fresno,2016,white
Esmeralda,Soria,Fresno,2018,hispanic
Miguel,Arias,Fresno,2018,hispanic
Luis,Chavez,Fresno,2018,hispanic
Nelson,Esparza,Fresno,2018,hispanic
Mike,Karbassi,Fresno,2019,white
Tyler,Maxwell,Fresno,2020,white
Mike,Karbassi,Fresno,2020,white
Garry,Bredefeld,Fresno,2020,white
Annalisa,Perea,Fresno,2022,hispanic
Miguel,Arias,Fresno,2022,hispanic
Luis,Chavez,Fresno,2022,hispanic
Nelson,Esparza,Fresno,2022,hispanic
Don,Bankhead,FULLERTON,2010,black
Pat,McKinley,FULLERTON,2010,white
Bruce,Whitaker,FULLERTON,2010,white
Travis,Kiger,Fullerton,2012,white
Doug,Chaffee,Fullerton,2012,white
Greg,Sebourn,Fullerton,2012,white
Jennifer,Fitzgerald,Fullerton,2012,black
Jan,Flory,Fullerton,2012,white
Bruce,Whitaker,Fullerton,2012,white
Doug,Chaffee,Fullerton,2014,white
Greg,Sebourn,Fullerton,2014,white
Jennifer,Fitzgerald,Fullerton,2016,black
Bruce,Whitaker,Fullerton,2016,white
Jesus,Silva,Fullerton,2016,hispanic
Jesus,Silva,Fullerton,2018,hispanic
Ahmad,Zahra,Fullerton,2018,asian
Fred,Jung,Fullerton,2020,asian
Nick,Dunlap,Fullerton,2020,white
Bruce,Whitaker,Fullerton,2020,white
Shana,Charles,Fullerton,2022,hispanic
Ahmad,Zahra,Fullerton,2022,asian
Mark,Crews,GALT,2010,white
Marylou,Powers,GALT,2010,white
Mike,Singleton,GALT,2010,black
Curt,Campion,Galt,2012,white
Barbara,Payne,Galt,2012,white
Lori,Heuer,Galt,2014,white
Marylou,Powers,Galt,2014,white
Mark,Crews,Galt,2014,white
Curt,Campion,Galt,2016,white
Paige,Lampson,Galt,2016,white
Shawn,Farmer,Galt,2018,white
Rich,Lozano,Galt,2018,hispanic
Paul,Sandhu,Galt,2018,asian
Kevin,Papineau,Galt,2020,white
Jay,Vandenburg,Galt,2020,white
Paul,Sandhu,Galt,2022,asian
Shawn,Farmer,Galt,2022,white
Rich,Lozano,Galt,2022,hispanic
Bruce,Broadwater,GARDEN GROVE,2010,white
Dina,Nguyen,GARDEN GROVE,2010,asian
Chris,Phan,Garden Grove,2012,asian
Steve,Jones,Garden Grove,2012,black
Phat,Bui,Garden Grove,2014,asian
Kris,Beard,Garden Grove,2014,white
John,O'Neill,Garden Grove,2016,white
Thu-Ha,Nguyen,Garden Grove,2016,asian
Stephanie,Klopfenstein,Garden Grove,2016,white
Kim,Nguyen,Garden Grove,2016,asian
George,"Brietigam, III",Garden Grove,2018,asian
Thu-Ha,Nguyen,Garden Grove,2018,asian
Phat,Bui,Garden Grove,2018,asian
John,O'Neill,Garden Grove,2020,white
Stephanie,Klopfenstein,Garden Grove,2020,white
Kim,Nguyen,Garden Grove,2020,asian
George,"Brietigam, III",Garden Grove,2022,asian
Cindy,Tran,Garden Grove,2022,asian
Joe,Dovinh,Garden Grove,2022,asian
Tasha,Cerda,Gardena,2013,hispanic
Terrence,Terauchi,Gardena,2013,white
Dan,Medina,Gardena,2015,hispanic
Mark,Henderson,Gardena,2015,white
Harout,Kaskanian,Gardena,2017,white
Rodney,Tanaka,Gardena,2017,asian
Paulette,Francis,Gardena,2020,white
Mark,Henderson,Gardena,2020,white
Rodney,Tanaka,Gardena,2022,asian
Wanda,Love,Gardena,2022,black
Peter,Arellano,GILROY,2010,hispanic
Dion,Bracco,GILROY,2010,white
Peter,Leroe-Munoz,GILROY,2010,hispanic
Perry,Woodward,Gilroy,2012,white
Terri,Aulman,Gilroy,2012,white
Cat,Tucker,Gilroy,2012,white
Roland,Velasco,Gilroy,2014,hispanic
Peter,Leroe-Munoz,Gilroy,2014,hispanic
Dion,Bracco,Gilroy,2014,white
Fred,Tovar,Gilroy,2016,hispanic
Cat,Tucker,Gilroy,2016,white
Paul,Kloecker,Gilroy,2016,white
Marie,Blankley,Gilroy,2018,white
Dion,Bracco,Gilroy,2018,white
Peter,Leroe-Muñoz,Gilroy,2018,hispanic
Carol,Marques,Gilroy,2018,white
Rebeca,Armendariz,Gilroy,2020,hispanic
Zach,Hilton,Gilroy,2020,white
Fred,Tovar,Gilroy,2020,hispanic
Tom,Cline,Gilroy,2022,white
Carol,Marques,Gilroy,2022,white
Dion,Bracco,Gilroy,2022,white
Rafi,Manoukian,Glendale,2011,white
Dave,Weaver,Glendale,2011,black
Ara,Najarian,Glendale,2013,white
Laura,Friedman,Glendale,2013,white
Zareh,Sinanyan,Glendale,2013,white
Paula,Devine,Glendale,2014,white
Paula,Devine,Glendale,2015,white
Vartan,Gharpetian,Glendale,2015,white
Vrej,Agajani,Glendale,2017,asian
Ara,Najarian,Glendale,2017,white
Zareh,Sinanyan,Glendale,2017,white
Dan,Brotman,Glendale,2020,white
Ardy,Kassakhian,Glendale,2020,white
Paula,Devine,Glendale,2020,white
Dan,Brotman,Glendale,2022,white
Elen,Asatryan,Glendale,2022,white
Ara,Najarian,Glendale,2022,white
Judy,Nelson,Glendora,2011,white
Doug,Tessitor,Glendora,2011,white
Joe,Santoro,Glendora,2011,white
Gary,Boyer,Glendora,2015,white
Mendell,Thompson,Glendora,2015,white
Judy,Nelson,Glendora,2015,white
Michael,Allawos,Glendora,2017,hispanic
Karen,Davis,Glendora,2017,black
David,Fredendall,Glendora,2020,white
Roger,Aceves,GOLETA,2010,hispanic
Michael,Bennett,GOLETA,2010,white
Paula,Perotte,GOLETA,2010,white
Jim,Farr,Goleta,2012,white
Edward,Easton,Goleta,2012,white
Stuart,Kasdin,Goleta,2016,white
Kyle,Richards,Goleta,2016,white
Roger,Aceves,Goleta,2018,hispanic
James,Kyriaco,Goleta,2018,white
Stuart,Kasdin,Goleta,2020,white
Kyle,Richards,Goleta,2020,white
Luz,Reyes-Martin,Goleta,2022,hispanic
James,Kyriaco,Goleta,2022,white
Elizabeth,Silva,Gonzales,2014,hispanic
Robert,Bonincontri,Gonzales,2014,hispanic
Jose,Lopez,Gonzales,2014,hispanic
Scott,Funk,Gonzales,2016,white
Paul,Miller,Gonzales,2018,white
Elizabeth,Silva,Gonzales,2018,hispanic
Lorraine,Worthy,Gonzales,2018,white
Scott,Funk,Gonzales,2020,white
Elizabeth,Silva,Gonzales,2022,hispanic
Lorraine,Worthy,Gonzales,2022,white
Maria,Orozco,Gonzales,2022,hispanic
Bernardo,Sandoval,GRAND TERRACE,2010,hispanic
Darcy,McNaboe,GRAND TERRACE,2010,white
Jackie,Mitchell,Grand Terrace,2012,white
Sylvia,Robles,Grand Terrace,2012,hispanic
Darcy,McNaboe,Grand Terrace,2012,white
William,Hussey,Grand Terrace,2016,white
Sylvia,Robles,Grand Terrace,2016,hispanic
Brian,Reinarz,Grand Terrace,2016,white
Doug,Wilson,Grand Terrace,2018,white
Jeff,Allen,Grand Terrace,2018,white
Jeff,Allen,Grand Terrace,2020,white
William,Hussey,Grand Terrace,2020,white
Sylvia,Robles,Grand Terrace,2020,hispanic
Doug,Wilson,Grand Terrace,2022,white
Doug,Wilson,Grand Terrance,2014,white
Jason,Fouyer,GRASS VALLEY,2010,white
Dan,Miller,GRASS VALLEY,2010,white
Howard,Levine,Grass Valley,2012,white
Janet,Arbuckle,Grass Valley,2012,white
Lisa,Swarthout,Grass Valley,2012,white
Jason,Fouyer,Grass Valley,2014,white
Terry,Lamphier,Grass Valley,2014,white
Ben,Aguilar,Grass Valley,2018,hispanic
Hilary,Hodge,Grass Valley,2018,white
Bob,Branstrom,Grass Valley,2020,white
Thomas,Ivy,Grass Valley,2020,white
Janet,Arbuckle,Grass Valley,2020,white
Hilary,Hodge,Grass Valley,2022,white
Haven,Caravelli,Grass Valley,2022,white
Randy,Hurley,GREENFIELD,2010,white
Annie,Moreno,GREENFIELD,2010,hispanic
Agapito,Vazquez,Greenfield,2012,hispanic
Yvette,Gonzalez,Greenfield,2012,hispanic
Raul,Rodriguez,Greenfield,2012,hispanic
Lance,Walker,Greenfield,2012,white
Avelina,Torres,Greenfield,2014,hispanic
Leah,Santibanez,Greenfield,2014,hispanic
Lance,Walker,Greenfield,2016,white
Yanely,Martinez,Greenfield,2016,hispanic
Drew,Tipton,Greenfield,2018,white
Angela,Untalon,Greenfield,2018,white
Yanley,Martinez,Greenfield,2020,hispanic
Robert,White,Greenfield,2020,white
Angela,Untalon,Greenfield,2022,white
Rachel,Ortiz,Greenfield,2022,hispanic
Bruce,Johnson,Gridley,2014,black
Raymond,Borges,Gridley,2014,white
Chris,Williams,Gridley,2016,black
Gary,Davidson,Gridley,2016,white
Frank,Hall,Gridley,2016,white
Todd,Farr,Gridley,2018,white
Bruce,Johnson,Gridley,2018,black
J,Calderon,Gridley,2020,hispanic
Michael,Farr,Gridley,2020,white
Catalina,Sanchez,Gridley,2020,hispanic
Jeff,Lee,Grover Beach,2012,asian
Karen,Bright,Grover Beach,2012,white
Barbara,Nicolls,Grover Beach,2014,white
Mariam,Shah,Grover Beach,2014,asian
Debbie,Peterson,Grover Beach,2016,white
Jeff,Lee,Grover Beach,2016,asian
Barbara,Nicolls,Grover Beach,2018,white
Mariam,Shah,Grover Beach,2018,asian
Anna,Miller,Grover Beach,2020,white
Robert,Robert,Grover Beach,2020,white
Karen,Bright,Grover Beach,2020,white
Robert,Robert,Grover Beach,2022,white
Daniel,Rushing,Grover Beach,2022,white
John,Lizalde,GUADALUPE,2010,hispanic
John,Sabedra,GUADALUPE,2010,white
Gina,Rubalcaba,Guadalupe,2012,hispanic
William,Tucker,Guadalupe,2012,white
Virginia,Ponce,Guadalupe,2014,hispanic
Ariston,Julian,Guadalupe,2014,white
A.,Ramirez,Guadalupe,2016,hispanic
Gina,Rubalcaba,Guadalupe,2016,hispanic
Liliana,Cardenas,Guadalupe,2018,hispanic
Eugene,"Costa, Jr.",Guadalupe,2018,white
Gilbert,Robles,Guadalupe,2020,hispanic
Antonio,Ramirez,Guadalupe,2020,hispanic
Christina,Hernandez,Guadalupe,2022,hispanic
Eugene,"Costa, Jr.",Guadalupe,2022,white
Bart,Garcia,GUSTINE,2010,hispanic
Patrick,Nagy,GUSTINE,2010,white
Julie,Anderson,Gustine,2012,white
Joe,Oliveira,Gustine,2012,white
Ellen,Hasness,Gustine,2014,white
Patrick,Nagy,Gustine,2014,white
Joe,Oliveira,Gustine,2016,white
Craig,Turner,Gustine,2016,black
Derek,Alexander,Gustine,2018,black
Rich,Ford,Gustine,2018,white
Rich,Ford,Gustine,2022,white
Sherri,Marsigli,Gustine,2022,white
John,Muller,Half Moon Bay,2012,white
Marina,Fraser,Half Moon Bay,2012,white
Deborah,Penrose,Half Moon Bay,2014,white
Deborah,Ruddock,Half Moon Bay,2014,white
Rick,Kowalczyk,Half Moon Bay,2014,white
Adam,Eisen,Half Moon Bay,2016,white
Harvey,Rarback,Half Moon Bay,2016,white
Robert,Brownstone,Half Moon Bay,2018,white
Deborah,Penrose,Half Moon Bay,2018,white
Debbie,Ruddock,Half Moon Bay,2018,white
Joaquin,Jimenez,Half Moon Bay,2020,hispanic
Harvey,Rarback,Half Moon Bay,2020,white
Debbie,Ruddock,Half Moon Bay,2022,white
Jim,Irwin,HANFORD,2010,white
Lou,Martinez,HANFORD,2010,hispanic
Julia,Jameson,HANFORD,2010,white
Russ,Curry,Hanford,2012,white
Gary,Pannett,Hanford,2012,white
David,Ayers,Hanford,2014,white
Francisco,Ramirez,Hanford,2014,hispanic
Justin,Mendes,Hanford,2014,hispanic
Sue,Sorenson,Hanford,2016,white
Martin,Devine,Hanford,2016,white
Diane,Sharp,Hanford,2018,white
John,Draxler,Hanford,2018,white
Francisco,Ramirez,Hanford,2018,hispanic
Art,Brieno,Hanford,2018,hispanic
Kalish,Morrow,Hanford,2020,white
Travis,Paden,Hanford,2022,white
Lou,Martinez,Hanford,2022,hispanic
Mark,Kairis,Hanford,2022,white
Victor,Farfan,Hawaiian Gardens,2011,hispanic
Michael,Gomez,Hawaiian Gardens,2011,hispanic
Reynaldo,Rodriguez,Hawaiian Gardens,2013,hispanic
Barry,Bruce,Hawaiian Gardens,2013,white
Mariana,Rios,Hawaiian Gardens,2013,hispanic
Hank,Trimble,Hawaiian Gardens,2015,white
Myra,Maravilla,Hawaiian Gardens,2015,hispanic
Jesse,Alvarado,Hawaiian Gardens,2018,hispanic
Luis,Roa,Hawaiian Gardens,2018,hispanic
Monica,Rodriguez,Hawaiian Gardens,2018,hispanic
Maria,Del Rio,Hawaiian Gardens,2020,white
Victor,Farfan,Hawaiian Gardens,2020,hispanic
Myra,Maravilla,Hawaiian Gardens,2020,hispanic
Dandy,Paula,Hawaiian Gardens,2022,hispanic
Maria,Rio,Hawaiian Gardens,2022,white
Luis,Roa,Hawaiian Gardens,2022,hispanic
Ernie,Vargas,Hawaiian Gardens,2022,hispanic
Nilo,Michelin,Hawthorne,2011,white
Olivia,Valentine,Hawthorne,2011,hispanic
Alex,Vargas,Hawthorne,2013,hispanic
Angie,English,Hawthorne,2013,white
Nilo,Michelin,Hawthorne,2015,white
Haidar,Awad,Hawthorne,2015,white
Alex,Monteiro,Hawthorne,2018,white
Olivia,Valentine,Hawthorne,2018,hispanic
L.,Patterson,Hawthorne,2020,white
Angie,Reyes-English,Hawthorne,2020,white
Katrina,Manning,Hawthorne,2022,white
Alexandre,Monteiro,Hawthorne,2022,white
Marvin,Peixoto,HAYWARD,2010,white
Mark,Salinas,HAYWARD,2010,hispanic
Greg,Jones,Hayward,2012,black
Al,Mendall,Hayward,2012,white
Barbara,Halliday,Hayward,2012,white
Francisco,Zeremeno,Hayward,2012,hispanic
Sara,Lamnin,Hayward,2014,white
Francisco,Zermeno,Hayward,2016,hispanic
Mark,Salinas,Hayward,2016,hispanic
Elisa,Marquez,Hayward,2016,hispanic
Al,Mendall,Hayward,2016,white
Sara,Lamnin,Hayward,2018,white
