firstname,lastname,city,year,gender
Carol,Pirsztuk,El Segundo,2020,female
Christopher,Pimentel,El Segundo,2022,male
Ryan,Baldino,El Segundo,2022,female
Scot,Nicol,El Segundo City,2018,male
Chris,Pimentel,El Segundo City,2018,male
Patrick,Hume,ELK GROVE,2010,male
Gary,Davis,ELK GROVE,2010,male
Jim,Cooper,Elk Grove,2012,male
Steven,Detrick,Elk Grove,2012,male
Parick,Hume,Elk Grove,2014,male
Steve,Ly,Elk Grove,2014,male
Darren,Suen,Elk Grove,2016,male
Steven,Detrick,Elk Grove,2016,male
Pat,Hume,Elk Grove,2018,male
Stephanie,Nguyen,Elk Grove,2018,female
Kevin,Spease,Elk Grove,2020,male
Darren,Suen,Elk Grove,2020,male
Rod,Brewer,Elk Grove,2022,male
Sergio,Robles,Elk Grove,2022,male
Jacqueline,Asher,Emeryville,2011,female
Ruth,Atkin,Emeryville,2011,female
Nora,Davis,Emeryville,2011,female
Dianne,Martinez,Emeryville,2014,female
Scott,Donahue,Emeryville,2014,male
John,Bauters,Emeryville,2016,male
Ally,Medina,Emeryville,2016,female
Christian,Patz,Emeryville,2016,female
Scott,Donahue,Emeryville,2018,male
Dianne,Martinez,Emeryville,2018,female
Courtney,Welch,Emeryville,2021,female
Kalimah,Priforce,Emeryville,2022,female
David,Mourra,Emeryville,2022,male
Teresa,Barth,ENCINITAS,2010,female
Kristin,Gaspar,ENCINITAS,2010,female
Lisa,Shaffer,Encinitas,2012,female
Tony,Kranz,Encinitas,2012,male
Mark,Muir,Encinitas,2012,male
Catherine,Blakespear,Encinitas,2014,female
Tony,Kranz,Encinitas,2016,male
T.,Horvath,Encinitas,2016,female
Mark,Muir,Encinitas,2016,male
Jody,Hubbard,Encinitas,2018,female
Joe,Mosca,Encinitas,2018,male
Tony,Kranz,Encinitas,2020,male
Kellie,Hinze,Encinitas,2020,female
Joy,Lyndes,Encinitas,2022,female
Bruce,Ehlers,Encinitas,2022,male
Ed,Alves,ESCALON,2010,male
Danny,Fox,ESCALON,2010,male
Robert,Swift,ESCALON,2010,male
Jeff,Laugero,Escalon,2016,male
Walter,Murken,Escalon,2016,male
Ed,Alves,Escalon,2018,male
Peter,Krumeich,Escalon,2018,male
Robert,Swift,Escalon,2018,male
Andrew,Hagan,Escalon,2022,male
Jeremy,Engle,Escalon,2022,male
Malinda,Walker,Escalon,2022,female
Shawn,Strohman,Escalon,2022,male
Ed,Gallo,ESCONDIDO,2010,male
Marie,Waldron,ESCONDIDO,2010,female
Mike,Morasco,Escondido,2012,male
Olga,Diaz,Escondido,2012,female
Ed,Gallo,Escondido,2014,male
Nicole,Downey,Escondido,2014,female
Chad,Hunziker,Escondido,2014,male
John,Masson,Escondido,2014,male
Pick,Paul,Escondido,2014,male
Olga,Diaz,Escondido,2016,female
Mike,Moraso,Escondido,2016,male
Consuelo,Martinez,Escondido,2018,male
John,Masson,Escondido,2018,male
Tina,Inscoe,Escondido,2020,female
Joe,Garcia,Escondido,2020,male
Mike,Morasco,Escondido,2020,male
Consuelo,Martinez,Escondido,2022,male
Joe,Garcia,Escondido,2022,male
Jay,Martin,ETNA,2010,male
Bob,Prather,ETNA,2010,male
David,Stein,ETNA,2010,male
Lorraine,Fleck,Etna,2012,female
Marilyn,Seward,Etna,2012,female
Marian,Brady,EUREKA,2010,female
Mike,Newman,EUREKA,2010,male
Lance,Madsen,EUREKA,2010,male
Melinda,Ciarabellini,Eureka,2012,female
Linda,Atkins,Eureka,2012,female
Marian,Brady,Eureka,2014,female
Kim,Bergel,Eureka,2014,female
Natalie,Arroyo,Eureka,2014,female
Heidi,Messner,Eureka,2016,female
Austin,Allison,Eureka,2016,male
Leslie,Catellano,Eureka,2018,female
Natalie,Arroyo,Eureka,2018,female
Kim,Bergel,Eureka,2018,female
Kati,Moulton,Eureka,2020,female
Scott,Bauer,Eureka,2020,male
Leslie,Castellano,Eureka,2022,female
G.,Fernandez,Eureka,2022,male
Renee,Deloach,Eureka,2022,female
Jack,Allwardt,EXETER,2010,male
Teresa,Boyce,EXETER,2010,female
E.W.,Macaulay,EXETER,2010,male
W.,Sally Jr.,Exeter,2012,male
Robyn,Stearns,Exeter,2012,female
Mary,Waterman,Exeter,2014,female
Gordon,Gerdes,Exeter,2014,male
Teresa,Boyce,Exeter,2014,female
Teresa,Boyce,Exeter,2018,female
Frankie,Alves,Exeter,2022,female
Vicki,Riddle,Exeter,2022,female
Larry,Bragman,Fairfax,2011,male
Ryan,O'Neil,Fairfax,2011,female
Barbara,Coler,Fairfax,2013,female
David,Weinsoff,Fairfax,2013,male
John,Reed,Fairfax,2013,male
Renee,Goddard,Fairfax,2013,female
Bruce,Ackerman,Fairfax,2017,male
Barbara,Coler,Fairfax,2017,female
John,Reed,Fairfax,2017,male
Renee,Goddard,Fairfax,2019,female
Stephanie,Hellman,Fairfax,2019,female
Chance,Cutrano,Fairfax,2020,male
Bruce,Ackerman,Fairfax,2020,male
Barbara,Coler,Fairfax,2020,female
Stephanie,Hellman,Fairfax,2022,female
Lisel,Blash,Fairfax,2022,female
Pam,Bertani,Fairfield,2011,female
Rick,Vaccaro,Fairfield,2011,male
Catherine,Moy,Fairfield,2014,female
Chuck,Timm,Fairfield,2014,male
Rick,Vaccaro,Fairfield,2016,male
Pam,Bertani,Fairfield,2016,female
Catherine,Moy,Fairfield,2018,female
Chuck,Timm,Fairfield,2018,male
Scott,Tonnesen,Fairfield,2020,male
Doriss,Panduro,Fairfield,2020,female
Rick,Vaccaro,Fairfield,2020,male
Pam,Bertani,Fairfield,2020,female
K.,Williams,Fairfield,2022,female
Doug,Carr,Fairfield,2022,male
Doriss,Panduro,Fairfield,2022,female
Leonel,Benavides,FARMERSVILLE,2010,male
Larry,Miller,FARMERSVILLE,2010,male
Michael,Santana,FARMERSVILLE,2010,male
Greg,Gomez,Farmersville,2012,male
Don,Rowlett,Farmersville,2012,male
Paul,Boyer,Farmersville,2014,male
Matt,Sisk,Farmersville,2014,male
Freddy,"Espinoza, Jr.",Farmersville,2014,male
Rosa,Vasquez,Farmersville,2016,female
Gregorio,Gomez,Farmersville,2016,male
Paul,Boyer,Farmersville,2018,male
Tina,Hernandez,Farmersville,2018,female
Ruben,Macareno,Farmersville,2018,male
Paul,Boyer,Farmersville,2022,male
Armando,Hinojosa,Farmersville,2022,male
Tina,Hernandez,Farmersville,2022,female
Niels,Lorenzen,FERNDALE,2010,male
John,Maxwell,FERNDALE,2010,male
Daniel,Brown,Ferndale,2012,male
Ken,Mierzwa,Ferndale,2012,male
Michael,Sweeney,Ferndale,2014,male
Doug,Brower,Ferndale,2014,male
Daniel,Brown,Ferndale,2016,male
Stephen,Avis,Ferndale,2018,male
Robin,Smith,Ferndale,2018,female
Jennifer,Fisk-Becker,Ferndale,2018,female
Leonard,Lund,Ferndale,2020,male
Phillip,Ostler,Ferndale,2020,male
Jennifer,Fisk-Becker,Ferndale,2022,female
Alan,Jorgensen,Ferndale,2022,female
Brian,Sipes,FILLMORE,2010,female
Patti,Walker,FILLMORE,2010,female
Rick,Neal,Fillmore,2012,male
Manuel,Minjares,Fillmore,2012,male
Douglas,Tucker,Fillmore,2012,male
Diane,McCall,Fillmore,2014,female
Carrie,Broggie,Fillmore,2014,female
Manuel,Minjares,Fillmore,2016,male
Mark,Austin,Fillmore,2016,male
Tim,Holmgren,Fillmore,2016,male
Ari,Larson,Fillmore,2020,female
Christina,Villaseñor,Fillmore,2020,female
Mark,Austin,Fillmore,2020,male
Carrie,Broggie,Fillmore,2022,female
Albert,Mendez,Fillmore,2022,male
Christopher,Gurrola,Fillmore,2022,male
Lynn,Edmonds,Filmore,2018,female
Diane,McCall,Filmore,2018,female
Christopher,DeFrancesco,FIREBAUGH,2010,male
Marcia,Sablan,FIREBAUGH,2010,male
Craig,Knight,Firebaugh,2012,male
Freddy,Valdez,Firebaugh,2012,male
Brady,Jenkins Jr.,Firebaugh,2012,male
Marcia,Sablan,Firebaugh,2014,male
Felipe,Perez,Firebaugh,2014,male
Elsa,Lopez,Firebaugh,2016,female
Freddy,Valdez,Firebaugh,2016,male
Brady,Jenkins,Firebaugh,2016,male
Felipe,Perez,Firebaugh,2018,male
Marcia,Sablan,Firebaugh,2018,male
Brady,"Jenkins, Jr.",Firebaugh,2020,male
Elsa,Lopez,Firebaugh,2020,female
Alfred,Valdez,Firebaugh,2020,male
Silvia,Renteria,Firebaugh,2022,female
Felipe,Perez,Firebaugh,2022,male
Kerri,Howell,FOLSOM,2010,female
Steve,Miklos,FOLSOM,2010,male
Andy,Morin,FOLSOM,2010,male
Jeff,Starksy,Folsom,2012,male
Ernie,Sheldon,Folsom,2012,female
Kerri,Howell,Folsom,2014,female
Andy,Morin,Folsom,2014,male
Steve,Miklos,Folsom,2014,male
Ernie,Sheldon,Folsom,2016,female
Roger,"Gaylord, III",Folsom,2016,male
Sarah,Aquino,Folsom,2018,female
Kerri,Howell,Folsom,2018,female
Mike,Kozlowski,Folsom,2018,male
Yk,Chalamcherla,Folsom,2020,male
Rosario,Rodriguez,Folsom,2020,male
Mike,Kozlowski,Folsom,2022,male
Sarah,Aquino,Folsom,2022,female
Anna,Rohrbough,Folsom,2022,female
John,Roberts,FONTANA,2010,male
Michael,Tahan,FONTANA,2010,male
Jesus,Sandoval,Fontana,2012,male
Lydia,Wibert,Fontana,2012,female
John,Roberts,Fontana,2014,male
Michael,Tahan,Fontana,2014,male
Jesus,Sandoval,Fontana,2016,male
Jesse,Armendarez,Fontana,2016,male
Phillip,Cothran,Fontana,2018,male
John,Roberts,Fontana,2018,male
Peter,Garcia,Fontana,2020,male
Jesus,Sandoval,Fontana,2020,male
Phillip,Cothran,Fontana,2022,male
John,Roberts,Fontana,2022,male
Scott,Deitz,Fort Bragg,2012,male
Doug,Hammerstrom,Fort Bragg,2012,male
Heidi,Kraut,Fort Bragg,2013,female
Lindy,Peters,Fort Bragg,2014,female
Michael,Cimolino,Fort Bragg,2014,male
Dave,Turner,Fort Bragg,2014,male
Will,Lee,Fort Bragg,2016,male
Bernie,Norvell,Fort Bragg,2016,female
Tess,Albin-Smith,Fort Bragg,2018,female
Jessica,Morsell-Haye,Fort Bragg,2018,female
Lindy,Peters,Fort Bragg,2018,female
Jason,Godeke,Fort Bragg,2022,male
Marcia,Rafanan,Fort Bragg,2022,male
Michelle,Roberts,Fort Bragg,2022,female
Lindy,Peters,Fort Bragg,2022,female
Chris,Flynn,Fort Jones,2017,male
Bill,Beckwith,Fort Jones,2018,male
Michelle,DeCausmaker,Fort Jones,2018,female
Mercedes,Garcia,Fort Jones,2018,female
Kathye,Banks,Fort Jones,2020,female
Christian,Sherfy,Fort Jones,2020,female
Dean,Glaser,FORTUNA,2010,female
Sue,Long,FORTUNA,2010,female
Mike,Losey,FORTUNA,2010,male
Tami,Gillam-Trent,Fortuna,2012,female
Douglas,Strehl,Fortuna,2012,male
Sue,Long,Fortuna,2014,female
Linda,Gardner,Fortuna,2014,female
Tiara,Brown,Fortuna,2014,female
Dean,Glaser,Fortuna,2016,female
Tami,Trent,Fortuna,2016,female
Mike,Johnson,Fortuna,2018,male
Sue,Long,Fortuna,2018,female
Jeremy,Stanfield,Fortuna,2018,male
Mike,Losey,Fortuna,2020,male
Tami,Trent,Fortuna,2020,female
Mike,Johnson,Fortuna,2022,male
Christina,Mobley,Fortuna,2022,female
Kyle,Conley,Fortuna,2022,male
Sam,Hindi,Foster,2015,male
Herb,Perez,Foster,2015,male
Catherine,Mahanpour,Foster,2015,female
Patrick,Sullivan,Foster,2020,male
Jon,Froomin,Foster,2020,male
Sam,Hindi,Foster,2020,male
Steve,Okamoto,Foster City,2011,male
Art,Kiesel,Foster City,2011,male
Herb,Perez,Foster City,2011,male
Charlie,Bronitsky,Foster City,2013,male
Gary,Pollard,Foster City,2013,male
Richa,Awasthi,Foster City,2018,female
Sanjay,Gehani,Foster City,2018,male
Jon,Froomlin,Foster City,2020,male
Stacy,Jimenez,Foster City,2022,female
Art,Kiesel,Foster City,2022,male
John,Collins,FOUNTAIN VALLEY,2010,male
Mark,McCurdy,FOUNTAIN VALLEY,2010,male
Michael,Vo,FOUNTAIN VALLEY,2010,male
Cheryl,Brothers,Fountain Valley,2012,female
Steve,Nagel,Fountain Valley,2012,male
Mark,McCurdy,Fountain Valley,2014,male
Michael,Vo,Fountain Valley,2014,male
John,Collins,Fountain Valley,2014,male
Steve,Nagel,Fountain Valley,2016,male
Cheryl,Brothers,Fountain Valley,2016,female
Kim,Constantine,Fountain Valley,2018,female
Patrick,Harper,Fountain Valley,2018,male
Michael,Vo,Fountain Valley,2018,male
Ted,Bui,Fountain Valley,2020,male
Glenn,Grandis,Fountain Valley,2020,male
Jim,Cunneen,Fountain Valley,2022,male
Kim,Constantine,Fountain Valley,2022,female
Patrick,Harper,Fountain Valley,2022,male
David,Cardenas,FOWLER,2010,male
Jim,Simonian,FOWLER,2010,male
Sandie,Monis,Fowler,2012,female
Leonard,Hammer,Fowler,2012,male
Daniel,Parra,Fowler,2012,male
Daniel,Parra,Fowler,2016,male
Karnig,Kazarian,Fowler,2016,male
Leonard,Hammer,Fowler,2016,male
David,Cardenas,Fowler,2018,male
Mark,Rodriquez,Fowler,2018,male
Juan,Mejia,Fowler,2020,female
Karnig,Kazarian,Fowler,2020,male
Daniel,Parra,Fowler,2020,male
Amarjeet,Gill,Fowler,2022,female
Leonard,Hammer,Fowler,2022,male
Bill,Harrison,FREMONT,2010,male
Anu,Natarajan,FREMONT,2010,female
Vinnie,Bacon,Fremont,2012,female
Suzanne,Chan,Fremont,2012,female
Lily,Mei,Fremont,2014,female
Rick,Jones,Fremont,2014,male
Vinnie,Bacon,Fremont,2016,female
Raj,Salwan,Fremont,2016,male
Teresa,Keng,Fremont,2018,female
Rick,Jones,Fremont,2018,male
Jenny,Kassan,Fremont,2018,female
Yang,Shao,Fremont,2018,male
Teresa,Cox,Fremont,2020,female
Teresa,Keng,Fremont,2020,female
Raj,Salwan,Fremont,2020,male
Desrie,Campbell,Fremont,2022,female
Jenny,Kassan,Fremont,2022,female
Yang,Shao,Fremont,2022,male
Blong,Xiong,FRESNO,2010,male
Clint,Olivier,FRESNO,2010,male
Oliver,Baines,FRESNO,2010,male
Sal,Quintero,FRESNO,2010,male
Pat,Di Cicco,Fresno,2012,male
Paul,Caprioglio,Fresno,2012,male
Lee,Brand,Fresno,2012,female
Steve,Brandau,Fresno,2012,male
Oliver,Baines,Fresno,2014,male
Sal,Quintero,Fresno,2014,male
Clint,Olivier,Fresno,2014,male
Esmerelda,Soria,Fresno,2014,female
Steve,Brandau,Fresno,2016,male
Paul,Caprioglio,Fresno,2016,male
Luis,Chavez,Fresno,2016,male
Garry,Bredefeld,Fresno,2016,male
Esmeralda,Soria,Fresno,2018,female
Miguel,Arias,Fresno,2018,male
Luis,Chavez,Fresno,2018,male
Nelson,Esparza,Fresno,2018,male
Mike,Karbassi,Fresno,2019,male
Tyler,Maxwell,Fresno,2020,male
Mike,Karbassi,Fresno,2020,male
Garry,Bredefeld,Fresno,2020,male
Annalisa,Perea,Fresno,2022,female
Miguel,Arias,Fresno,2022,male
Luis,Chavez,Fresno,2022,male
Nelson,Esparza,Fresno,2022,male
Don,Bankhead,FULLERTON,2010,male
Pat,McKinley,FULLERTON,2010,male
Bruce,Whitaker,FULLERTON,2010,male
Travis,Kiger,Fullerton,2012,male
Doug,Chaffee,Fullerton,2012,male
Greg,Sebourn,Fullerton,2012,male
Jennifer,Fitzgerald,Fullerton,2012,female
Jan,Flory,Fullerton,2012,female
Bruce,Whitaker,Fullerton,2012,male
Doug,Chaffee,Fullerton,2014,male
Greg,Sebourn,Fullerton,2014,male
Jennifer,Fitzgerald,Fullerton,2016,female
Bruce,Whitaker,Fullerton,2016,male
Jesus,Silva,Fullerton,2016,male
Jesus,Silva,Fullerton,2018,male
Ahmad,Zahra,Fullerton,2018,male
Fred,Jung,Fullerton,2020,male
Nick,Dunlap,Fullerton,2020,male
Bruce,Whitaker,Fullerton,2020,male
Shana,Charles,Fullerton,2022,female
Ahmad,Zahra,Fullerton,2022,male
Mark,Crews,GALT,2010,male
Marylou,Powers,GALT,2010,female
Mike,Singleton,GALT,2010,male
Curt,Campion,Galt,2012,male
Barbara,Payne,Galt,2012,female
Lori,Heuer,Galt,2014,female
Marylou,Powers,Galt,2014,female
Mark,Crews,Galt,2014,male
Curt,Campion,Galt,2016,male
Paige,Lampson,Galt,2016,female
Shawn,Farmer,Galt,2018,male
Rich,Lozano,Galt,2018,male
Paul,Sandhu,Galt,2018,male
Kevin,Papineau,Galt,2020,male
Jay,Vandenburg,Galt,2020,male
Paul,Sandhu,Galt,2022,male
Shawn,Farmer,Galt,2022,male
Rich,Lozano,Galt,2022,male
Bruce,Broadwater,GARDEN GROVE,2010,male
Dina,Nguyen,GARDEN GROVE,2010,female
Chris,Phan,Garden Grove,2012,male
Steve,Jones,Garden Grove,2012,male
Phat,Bui,Garden Grove,2014,male
Kris,Beard,Garden Grove,2014,male
John,O'Neill,Garden Grove,2016,male
Thu-Ha,Nguyen,Garden Grove,2016,female
Stephanie,Klopfenstein,Garden Grove,2016,female
Kim,Nguyen,Garden Grove,2016,female
George,"Brietigam, III",Garden Grove,2018,male
Thu-Ha,Nguyen,Garden Grove,2018,female
Phat,Bui,Garden Grove,2018,male
John,O'Neill,Garden Grove,2020,male
Stephanie,Klopfenstein,Garden Grove,2020,female
Kim,Nguyen,Garden Grove,2020,female
George,"Brietigam, III",Garden Grove,2022,male
Cindy,Tran,Garden Grove,2022,female
Joe,Dovinh,Garden Grove,2022,male
Tasha,Cerda,Gardena,2013,female
Terrence,Terauchi,Gardena,2013,male
Dan,Medina,Gardena,2015,female
Mark,Henderson,Gardena,2015,male
Harout,Kaskanian,Gardena,2017,male
Rodney,Tanaka,Gardena,2017,male
Paulette,Francis,Gardena,2020,female
Mark,Henderson,Gardena,2020,male
Rodney,Tanaka,Gardena,2022,male
Wanda,Love,Gardena,2022,female
Peter,Arellano,GILROY,2010,male
Dion,Bracco,GILROY,2010,male
Peter,Leroe-Munoz,GILROY,2010,male
Perry,Woodward,Gilroy,2012,male
Terri,Aulman,Gilroy,2012,female
Cat,Tucker,Gilroy,2012,female
Roland,Velasco,Gilroy,2014,male
Peter,Leroe-Munoz,Gilroy,2014,male
Dion,Bracco,Gilroy,2014,male
Fred,Tovar,Gilroy,2016,male
Cat,Tucker,Gilroy,2016,female
Paul,Kloecker,Gilroy,2016,male
Marie,Blankley,Gilroy,2018,female
Dion,Bracco,Gilroy,2018,male
Peter,Leroe-Muñoz,Gilroy,2018,male
Carol,Marques,Gilroy,2018,female
Rebeca,Armendariz,Gilroy,2020,female
Zach,Hilton,Gilroy,2020,male
Fred,Tovar,Gilroy,2020,male
Tom,Cline,Gilroy,2022,male
Carol,Marques,Gilroy,2022,female
Dion,Bracco,Gilroy,2022,male
Rafi,Manoukian,Glendale,2011,male
Dave,Weaver,Glendale,2011,male
Ara,Najarian,Glendale,2013,female
Laura,Friedman,Glendale,2013,female
Zareh,Sinanyan,Glendale,2013,male
Paula,Devine,Glendale,2014,female
Paula,Devine,Glendale,2015,female
Vartan,Gharpetian,Glendale,2015,female
Vrej,Agajani,Glendale,2017,male
Ara,Najarian,Glendale,2017,female
Zareh,Sinanyan,Glendale,2017,male
Dan,Brotman,Glendale,2020,female
Ardy,Kassakhian,Glendale,2020,male
Paula,Devine,Glendale,2020,female
Dan,Brotman,Glendale,2022,female
Elen,Asatryan,Glendale,2022,female
Ara,Najarian,Glendale,2022,female
Judy,Nelson,Glendora,2011,female
Doug,Tessitor,Glendora,2011,male
Joe,Santoro,Glendora,2011,male
Gary,Boyer,Glendora,2015,male
Mendell,Thompson,Glendora,2015,male
Judy,Nelson,Glendora,2015,female
Michael,Allawos,Glendora,2017,male
Karen,Davis,Glendora,2017,female
David,Fredendall,Glendora,2020,male
Roger,Aceves,GOLETA,2010,male
Michael,Bennett,GOLETA,2010,male
Paula,Perotte,GOLETA,2010,female
Jim,Farr,Goleta,2012,male
Edward,Easton,Goleta,2012,male
Stuart,Kasdin,Goleta,2016,male
Kyle,Richards,Goleta,2016,male
Roger,Aceves,Goleta,2018,male
James,Kyriaco,Goleta,2018,male
Stuart,Kasdin,Goleta,2020,male
Kyle,Richards,Goleta,2020,male
Luz,Reyes-Martin,Goleta,2022,female
James,Kyriaco,Goleta,2022,male
Elizabeth,Silva,Gonzales,2014,female
Robert,Bonincontri,Gonzales,2014,male
Jose,Lopez,Gonzales,2014,male
Scott,Funk,Gonzales,2016,male
Paul,Miller,Gonzales,2018,male
Elizabeth,Silva,Gonzales,2018,female
Lorraine,Worthy,Gonzales,2018,female
Scott,Funk,Gonzales,2020,male
Elizabeth,Silva,Gonzales,2022,female
Lorraine,Worthy,Gonzales,2022,female
Maria,Orozco,Gonzales,2022,female
Bernardo,Sandoval,GRAND TERRACE,2010,male
Darcy,McNaboe,GRAND TERRACE,2010,female
Jackie,Mitchell,Grand Terrace,2012,female
Sylvia,Robles,Grand Terrace,2012,female
Darcy,McNaboe,Grand Terrace,2012,female
William,Hussey,Grand Terrace,2016,male
Sylvia,Robles,Grand Terrace,2016,female
Brian,Reinarz,Grand Terrace,2016,female
Doug,Wilson,Grand Terrace,2018,male
Jeff,Allen,Grand Terrace,2018,male
Jeff,Allen,Grand Terrace,2020,male
William,Hussey,Grand Terrace,2020,male
Sylvia,Robles,Grand Terrace,2020,female
Doug,Wilson,Grand Terrace,2022,male
Doug,Wilson,Grand Terrance,2014,male
Jason,Fouyer,GRASS VALLEY,2010,male
Dan,Miller,GRASS VALLEY,2010,female
Howard,Levine,Grass Valley,2012,male
Janet,Arbuckle,Grass Valley,2012,female
Lisa,Swarthout,Grass Valley,2012,female
Jason,Fouyer,Grass Valley,2014,male
Terry,Lamphier,Grass Valley,2014,male
Ben,Aguilar,Grass Valley,2018,male
Hilary,Hodge,Grass Valley,2018,female
Bob,Branstrom,Grass Valley,2020,male
Thomas,Ivy,Grass Valley,2020,male
Janet,Arbuckle,Grass Valley,2020,female
Hilary,Hodge,Grass Valley,2022,female
Haven,Caravelli,Grass Valley,2022,female
Randy,Hurley,GREENFIELD,2010,male
Annie,Moreno,GREENFIELD,2010,female
Agapito,Vazquez,Greenfield,2012,male
Yvette,Gonzalez,Greenfield,2012,female
Raul,Rodriguez,Greenfield,2012,male
Lance,Walker,Greenfield,2012,male
Avelina,Torres,Greenfield,2014,female
Leah,Santibanez,Greenfield,2014,female
Lance,Walker,Greenfield,2016,male
Yanely,Martinez,Greenfield,2016,female
Drew,Tipton,Greenfield,2018,male
Angela,Untalon,Greenfield,2018,female
Yanley,Martinez,Greenfield,2020,female
Robert,White,Greenfield,2020,male
Angela,Untalon,Greenfield,2022,female
Rachel,Ortiz,Greenfield,2022,female
Bruce,Johnson,Gridley,2014,male
Raymond,Borges,Gridley,2014,male
Chris,Williams,Gridley,2016,male
Gary,Davidson,Gridley,2016,male
Frank,Hall,Gridley,2016,male
Todd,Farr,Gridley,2018,male
Bruce,Johnson,Gridley,2018,male
J,Calderon,Gridley,2020,male
Michael,Farr,Gridley,2020,male
Catalina,Sanchez,Gridley,2020,female
Jeff,Lee,Grover Beach,2012,male
Karen,Bright,Grover Beach,2012,female
Barbara,Nicolls,Grover Beach,2014,female
Mariam,Shah,Grover Beach,2014,female
Debbie,Peterson,Grover Beach,2016,female
Jeff,Lee,Grover Beach,2016,male
Barbara,Nicolls,Grover Beach,2018,female
Mariam,Shah,Grover Beach,2018,female
Anna,Miller,Grover Beach,2020,female
Robert,Robert,Grover Beach,2020,male
Karen,Bright,Grover Beach,2020,female
Robert,Robert,Grover Beach,2022,male
Daniel,Rushing,Grover Beach,2022,male
John,Lizalde,GUADALUPE,2010,male
John,Sabedra,GUADALUPE,2010,male
Gina,Rubalcaba,Guadalupe,2012,female
William,Tucker,Guadalupe,2012,male
Virginia,Ponce,Guadalupe,2014,female
Ariston,Julian,Guadalupe,2014,male
A.,Ramirez,Guadalupe,2016,female
Gina,Rubalcaba,Guadalupe,2016,female
Liliana,Cardenas,Guadalupe,2018,female
Eugene,"Costa, Jr.",Guadalupe,2018,male
Gilbert,Robles,Guadalupe,2020,male
Antonio,Ramirez,Guadalupe,2020,male
Christina,Hernandez,Guadalupe,2022,female
Eugene,"Costa, Jr.",Guadalupe,2022,male
Bart,Garcia,GUSTINE,2010,male
Patrick,Nagy,GUSTINE,2010,male
Julie,Anderson,Gustine,2012,female
Joe,Oliveira,Gustine,2012,male
Ellen,Hasness,Gustine,2014,female
Patrick,Nagy,Gustine,2014,male
Joe,Oliveira,Gustine,2016,male
Craig,Turner,Gustine,2016,male
Derek,Alexander,Gustine,2018,male
Rich,Ford,Gustine,2018,male
Rich,Ford,Gustine,2022,male
Sherri,Marsigli,Gustine,2022,female
John,Muller,Half Moon Bay,2012,male
Marina,Fraser,Half Moon Bay,2012,female
Deborah,Penrose,Half Moon Bay,2014,female
Deborah,Ruddock,Half Moon Bay,2014,female
Rick,Kowalczyk,Half Moon Bay,2014,male
Adam,Eisen,Half Moon Bay,2016,male
Harvey,Rarback,Half Moon Bay,2016,male
Robert,Brownstone,Half Moon Bay,2018,male
Deborah,Penrose,Half Moon Bay,2018,female
Debbie,Ruddock,Half Moon Bay,2018,female
Joaquin,Jimenez,Half Moon Bay,2020,male
Harvey,Rarback,Half Moon Bay,2020,male
Debbie,Ruddock,Half Moon Bay,2022,female
Jim,Irwin,HANFORD,2010,male
Lou,Martinez,HANFORD,2010,male
Julia,Jameson,HANFORD,2010,female
Russ,Curry,Hanford,2012,male
Gary,Pannett,Hanford,2012,male
David,Ayers,Hanford,2014,male
Francisco,Ramirez,Hanford,2014,male
Justin,Mendes,Hanford,2014,male
Sue,Sorenson,Hanford,2016,female
Martin,Devine,Hanford,2016,male
Diane,Sharp,Hanford,2018,female
John,Draxler,Hanford,2018,male
Francisco,Ramirez,Hanford,2018,male
Art,Brieno,Hanford,2018,male
Kalish,Morrow,Hanford,2020,female
Travis,Paden,Hanford,2022,male
Lou,Martinez,Hanford,2022,male
Mark,Kairis,Hanford,2022,male
Victor,Farfan,Hawaiian Gardens,2011,male
Michael,Gomez,Hawaiian Gardens,2011,male
Reynaldo,Rodriguez,Hawaiian Gardens,2013,male
Barry,Bruce,Hawaiian Gardens,2013,male
Mariana,Rios,Hawaiian Gardens,2013,female
Hank,Trimble,Hawaiian Gardens,2015,male
Myra,Maravilla,Hawaiian Gardens,2015,female
Jesse,Alvarado,Hawaiian Gardens,2018,male
Luis,Roa,Hawaiian Gardens,2018,male
Monica,Rodriguez,Hawaiian Gardens,2018,female
Maria,Del Rio,Hawaiian Gardens,2020,female
Victor,Farfan,Hawaiian Gardens,2020,male
Myra,Maravilla,Hawaiian Gardens,2020,female
Dandy,Paula,Hawaiian Gardens,2022,male
Maria,Rio,Hawaiian Gardens,2022,female
Luis,Roa,Hawaiian Gardens,2022,male
Ernie,Vargas,Hawaiian Gardens,2022,female
Nilo,Michelin,Hawthorne,2011,male
Olivia,Valentine,Hawthorne,2011,female
Alex,Vargas,Hawthorne,2013,male
Angie,English,Hawthorne,2013,female
Nilo,Michelin,Hawthorne,2015,male
Haidar,Awad,Hawthorne,2015,male
Alex,Monteiro,Hawthorne,2018,male
Olivia,Valentine,Hawthorne,2018,female
L.,Patterson,Hawthorne,2020,male
Angie,Reyes-English,Hawthorne,2020,female
Katrina,Manning,Hawthorne,2022,female
Alexandre,Monteiro,Hawthorne,2022,male
Marvin,Peixoto,HAYWARD,2010,male
Mark,Salinas,HAYWARD,2010,male
Greg,Jones,Hayward,2012,male
Al,Mendall,Hayward,2012,male
Barbara,Halliday,Hayward,2012,female
Francisco,Zeremeno,Hayward,2012,male
