firstname,lastname,SchoolDistrict,year,gender
Christine,Flood,Evergreen Union,2018,female
Mark,Hellwig,Exeter Unified,2016,male
Julie,Watson,Exeter Unified,2022,female
Mark,Hellwig,EXETER UNION ELEMENTARY,2010,male
Dewayne,Faulkner,EXETER UNION ELEMENTARY,2010,male
Jack,Elam,EXETER UNION HIGH,2010,male
Jeremy,Petty,EXETER UNION HIGH,2010,male
Raymond,Strable,EXETER UNION HIGH,2010,male
Virginia,Padilla,Exeter Union High,2012,female
Mark,Hellwig,Exeter Union High,2012,male
Raymond,Strable,Exeter Union High,2012,male
Dewayne,Faulkner,Exeter Union High,2012,male
Lawrence,Larson,Exeter Union High,2012,male
Dean,Sutton,Exeter Union High,2012,female
Javier,Moreno,FAIRFAX ELEMENTARY,2010,male
Patsy,Rowles,FAIRFAX ELEMENTARY,2010,male
Catherine,Adams-Tange,FAIRFAX ELEMENTARY,2010,female
Robert,Alvardo,Fairfax Elementary,2012,male
Charles,Harriger,Fairfax Elementary,2012,male
Valorie,Alvarado,Fairfax Elementary,2014,female
Patsy,Rowles,Fairfax Elementary,2014,male
Alex,Adams,Fairfax Elementary,2014,male
Javier,Moreno,Fairfax Elementary,2016,male
Christopher,Ferguson,Fairfax Elementary,2016,male
Virginia,Lawson,Fairfax Elementary,2016,female
Alma,Rios,Fairfax Elementary,2018,female
Victoria,Coronel,Fairfax Elementary,2018,female
Palmer,Moland,Fairfax Elementary,2018,male
Jose,Tapia,Fairfax Elementary,2020,male
Virginia,Lawson,Fairfax Elementary,2020,female
Mario,Barron,Fairfax Elementary,2022,male
Cora,Padilla,Fairfax Elementary,2022,female
Jeffrey,Crisler,Fairfax Elementary,2022,male
Craig,Wilson,Fairfield-Suison Unified,2018,male
John,Silva,Fairfield-Suisun Unified,2011,male
Kathleen,Marianno,Fairfield-Suisun Unified,2011,female
Judi,Honeychurch,Fairfield-Suisun Unified,2011,female
Pat,Shamansky,Fairfield-Suisun Unified,2011,female
Chris,Wilson,Fairfield-Suisun Unified,2014,male
John,Silva,Fairfield-Suisun Unified,2016,male
Joan,Gaut,Fairfield-Suisun Unified,2016,female
Bethany,Smith,Fairfield-Suisun Unified,2016,female
Helen,Tilley,Fairfield-Suisun Unified,2020,female
Ana,Petero,Fairfield-Suisun Unified,2020,female
Bethany,Smith,Fairfield-Suisun Unified,2020,female
Jack,Flynn,Fairfield-Suisun Unified,2022,male
Ignacio,Venegas,Fall River Joint Unified,2014,male
Teri,Vigil,Fall River Joint Unified,2014,female
Randy,Oller,Fall River Joint Unified,2014,male
Ignacio,Venegas,Fall River Joint Unified,2018,male
Teri,Vigil,Fall River Joint Unified,2018,female
Rick,Dougherty,Fall River Joint Unified,2018,male
Megan,Estes,Fall River Joint Unified,2020,female
Jack,Hathaway,Fall River Joint Unified,2020,male
Jeff,Cook,Fall River Joint Unified,2020,male
John,Hamilton,Fall River Joint Unified,2022,male
Richard,Dougherty,Fall River Joint Unified,2022,male
Jeanne,Norris,Fall River Joint Unified,2022,female
Patrick,Rusnell,Fallbrook Union Elemenatry,2014,male
Darryl,Buntin,Fallbrook Union Elemenatry,2014,male
Patty,De Jong,Fallbrook Union Elemenatry,2014,female
Patty,De Jong,FALLBROOK UNION ELEMENTARY,2010,female
Patrick,Rusnell,FALLBROOK UNION ELEMENTARY,2010,male
Maurice,Bernier,FALLBROOK UNION ELEMENTARY,2010,male
Siegrid,Stillman,Fallbrook Union Elementary,2012,male
Lisa,Masten,Fallbrook Union Elementary,2012,female
Caron,Lieber,Fallbrook Union Elementary,2018,male
Patty,De Jong,Fallbrook Union Elementary,2018,female
Susan,Liebes,Fallbrook Union Elementary,2018,female
Diane,Sebalj,Fallbrook Union Elementary,2022,female
Stacey,McRae,Fallbrook Union Elementary,2022,female
Mary,McBride,Fallbrook Union Elementary,2022,female
Richard,Goodlake,Fallbrook Union High,2014,male
Sherry,Ludwig,Fallbrook Union High,2014,female
James,O'Donnell,Fallbrook Union High,2014,male
Lee,De Meo,Fallbrook Union High,2016,female
Sharon,Koehler,Fallbrook Union High,2016,male
Elana,Sterling,Fallbrook Union High,2018,female
Lita,Tabish,Fallbrook Union High,2018,female
Diane,Summers,Fallbrook Union High,2018,female
Paul,Christensen,Fallbrook Union High,2022,male
Courtney,Hilborn,Fallbrook Union High,2022,female
Tauna,Rodarte,Fallbrook Union High,2023,female
Alvin,Vanderslice,Farmersville Unified,2011,male
Don,Mason,Farmersville Unified,2011,male
Lupe,Fernandez,Farmersville Unified,2014,male
John,Vasquez,Farmersville Unified,2014,male
Jorge,Vasquez,Farmersville Unified,2014,male
John,Vasquez,Farmersville Unified,2016,male
Alice,Lopez,Farmersville Unified,2016,female
John,Alvarez,Farmersville Unified,2018,male
Lupe,Fernandez,Farmersville Unified,2018,male
Jorge,Vasquez,Farmersville Unified,2018,male
John,Vasquez,Farmersville Unified,2020,male
Alice,Lopez,Farmersville Unified,2020,female
Johnny,Alvarez,Farmersville Unified,2022,male
Sabrina,Gomez,Farmersville Unified,2022,female
Ruben,Macareno,Farmersville Unified,2022,male
William,Elliott,Feather River College,2014,male
Guy,McNett,Feather River College,2018,male
Emil,Feierabend,Ferndale Unified,2011,male
Kristina,Radelfinger,Ferndale Unified,2011,female
Ken,Richardson,Ferndale Unified,2013,male
Jerry,Hansen,Ferndale Unified,2013,male
Stephanie,Koch,Ferndale Unified,2013,female
Clifford,Titus,Ferndale Unified,2020,male
Julie,Hagemann,Ferndale Unified,2020,female
Danella,Barnes-Penman,Ferndale Unified,2022,female
Colton,Brodt,Ferndale Unified,2022,male
Michael,Warner,Ferndale Unified,2022,male
Richard,Grissom,Fieldbrook Elementary,2011,male
Jeremy,Sargent,Fieldbrook Elementary,2011,male
Tony,Prado,FILLMORE UNIFIED,2010,male
Lucy,Rangel,FILLMORE UNIFIED,2010,female
Dave,Wilde,FILLMORE UNIFIED,2010,male
Lucy,Rangel,Fillmore Unified,2014,female
Scott,Beylik,Fillmore Unified,2014,male
Sean,Morris,Fillmore Unified,2014,female
Lucy,Rangel,Fillmore Unified,2018,female
Scott,Beylik,Fillmore Unified,2018,male
Sean,Morris,Fillmore Unified,2018,female
Eliseo,Gamino,Firebaugh-Las Deltas Joint,2018,male
Abel,Serrano,Firebaugh-Las Deltas Joint,2020,male
Deanne,Crockett,Firebaugh-Las Deltas Joint,2022,female
Eliseo,Gamino,Firebaugh-Las Deltas Joint,2022,male
Richard,Shaw,FOLSOM - CORDOVA UNIFIED,2010,male
Ed,Short,FOLSOM - CORDOVA UNIFIED,2010,male
Zak,Ford,FOLSOM - CORDOVA UNIFIED,2010,male
Dave,Reid,Folsom-Cordova Unified,2018,male
Joshua,Hoover,Folsom-Cordova Unified,2018,male
Ed,Short,Folsom-Cordova Unified,2018,male
Tim,Hooey,Folsom-Cordova Unified,2020,male
Christopher,Clark,Folsom-Cordova Unified,2020,male
Kara,Lofthouse,Folsom-Cordova Unified,2022,female
Jen,Laret,Folsom-Cordova Unified,2022,female
Leticia,Garcia,FONTANA UNIFIED,2010,female
Sophia,Green,FONTANA UNIFIED,2010,female
Gus,Hawthorn,FONTANA UNIFIED,2010,male
Lorena,Corona,Fontana Unified,2012,female
Barbara,Chavez,Fontana Unified,2012,female
Ayanna,Blackmon-Balogun,Fontana Unified,2013,female
Shannon,O'Brien,Fontana Unified,2013,male
Jesse,Armendarez,Fontana Unified,2014,male
Mary,Sandoval,Fontana Unified,2014,female
Matt,Slowik,Fontana Unified,2014,male
Peter,Garcia,Fontana Unified,2016,male
Jason,O'Brien,Fontana Unified,2016,male
Mars,Serna,Fontana Unified,2017,male
Adam,Perez,Fontana Unified,2018,male
Mars,Serna,Fontana Unified,2018,male
Mary,Sandoval,Fontana Unified,2018,female
Jennifer,Quezada,Fontana Unified,2020,female
Joe,Armendarez,Fontana Unified,2020,male
Adam,Perez,Fontana Unified,2022,male
Mary,Sandoval,Fontana Unified,2022,female
Mars,Serna,Fontana Unified,2022,male
Gilbert,Wong,Foothill-De Anza Community College,2016,male
Laura,Casas,Foothill-De Anza Community College,2016,female
Peter,Landsberger,Foothill-De Anza Community College,2016,male
Joan,Barram,Foothill-DeAnza Community College,2012,female
Laura,Frier,Foothill-DeAnza Community College,2012,female
Betsy,Bechtel,Foothill-DeAnza Community College,2012,female
Gilbert,Wong,Foothill-DeAnza Community College,2020,male
Laura,Casas,Foothill-DeAnza Community College,2020,female
Peter,Landsberger,Foothill-DeAnza Community College,2020,male
Patty,Fitzgerald,FORESTHILL UNION ELEMENTARY,2010,female
Eren,Linstadt,FORESTHILL UNION ELEMENTARY,2010,female
Loretta,Rector,FORESTHILL UNION ELEMENTARY,2010,female
Casey,Peoples,Foresthill Union Elementary,2018,male
Rachel,Cottingh,Foresthill Union Elementary,2018,female
Sean,Salveson,Foresthill Union Elementary,2018,female
Steve,Smith,Foresthill Union Elementary,2020,male
Amber,Ordway,Foresthill Union Elementary,2020,female
Ron,Abler,FORESTVILLE UNION ELEMENTARY,2010,male
Max,Broome,FORESTVILLE UNION ELEMENTARY,2010,male
Gaylynne,Sword,FORESTVILLE UNION ELEMENTARY,2010,female
Jean,Bullard,Forestville Union Elementary,2016,female
Josh,Nultemeier,Forestville Union Elementary,2016,male
Max,Broome,Forestville Union Elementary,2018,male
Linda,Strauss,Forestville Union Elementary,2018,female
Christopher,Uebel,Forestville Union Elementary,2018,male
Thomas,Walker,Forks of Salmon Elementary,2022,male
Shannon,Flarity,Forks of Salmon Elementary,2022,female
Lyra,Cressey,Forks of Salmon Elementary,2022,female
Kathy,Babcock,Fort Bragg Unified,2015,female
Cynthia,Audo,Fort Bragg Unified,2015,female
Kathy,Babcock,Fort Bragg Unified,2020,female
Maryjean,Makela,Fort Bragg Unified,2020,female
Venessa,Vazquez,FORT SAGE UNIFIED,2010,female
Timothy,Jobbins,Fort Sage Unified,2016,male
Clara,Schumacher,Fort Sage Unified,2016,female
Don,Brown,Fortuna Union Elementary,2012,male
Richard,Barsanti,Fortuna Union Elementary,2012,male
Marilyn,Strehl,Fortuna Union Elementary,2012,female
Janice,Olkin,Fortuna Union Elementary,2012,female
Kenneth,Steele,Fortuna Union Elementary-At Large,2012,male
Charles,Giannini,Fortuna Union High,2011,male
Anita,Gage,Fortuna Union High,2011,female
Charles,Ellebrecht,Fortuna Union High,2015,male
Charles,Giannini,Fortuna Union High,2015,male
Kendra,Guimaraes,Fortuna Union High,2020,female
Jeana,McClendon,Fortuna Union High,2020,female
Sandra,Crandall,FOUNTAIN VALLEY ELEMENTARY,2010,female
Judy,Edwards,FOUNTAIN VALLEY ELEMENTARY,2010,female
James,Templin,FOUNTAIN VALLEY ELEMENTARY,2010,male
Jeanne,Galindo,Fountain Valley Elementary,2012,female
Ian,Collins,Fountain Valley Elementary,2012,female
Jim,Cunneen,Fountain Valley Elementary,2014,male
Sandra,Crandall,Fountain Valley Elementary,2014,female
Lisa,Schultz,Fountain Valley Elementary,2014,female
Jeanne,Galindo,Fountain Valley Elementary,2016,female
Ian,Collins,Fountain Valley Elementary,2016,female
Jim,Cunneen,Fountain Valley Elementary,2018,male
Sandra,Crandall,Fountain Valley Elementary,2018,female
Lisa,Schultz,Fountain Valley Elementary,2018,female
Jeanne,Galindo,Fountain Valley Elementary,2020,female
Steve,Schultz,Fountain Valley Elementary,2020,male
Phu,Nguyen,Fountain Valley Elementary,2022,male
Dennis,Cole,Fountain Valley Elementary,2022,male
Sandra,Crandall,Fountain Valley Elementary,2022,female
Arthur,Rojas,Fowler Unified,2018,male
Henry,Murrieta,Fowler Unified,2018,male
Darlene,Martin,Fowler Unified,2020,female
Keith-Khoa,Nguyen,FRANKLIN - MCKINLEY ELEMENTARY,2010,female
Buu,Thai,FRANKLIN - MCKINLEY ELEMENTARY,2010,female
Rudy,Rodriguez,FRANKLIN - MCKINLEY ELEMENTARY,2010,male
Peter,Bravos,Franklin Elemenatry,2014,male
Ryan,O'Neal,Franklin Elemenatry,2014,female
Jill,Patrick,Franklin Elemenatry,2014,female
Joseph,Oates,Franklin Elementary,2012,male
Thomas,Williams Jr.,Franklin Elementary,2012,male
Kyle,O'Neal,Franklin Elementary,2022,male
Glenn,Houston,Franklin Elementary,2022,male
Aaron,Murphy,Franklin Elementary,2022,male
George,Sanchez,Franklin-McKinley Elementary,2012,male
John,Lindner,Franklin-McKinley Elementary,2012,male
Thanh,Tran,Franklin-McKinley Elementary,2014,male
Rudy,Rodriguez,Franklin-McKinley Elementary,2014,male
Omar,Torres,Franklin-McKinley Elementary,2014,male
George,Sanchez,Franklin-McKinley Elementary,2016,male
John,Lindner,Franklin-McKinley Elementary,2016,male
Maimona,Berta,Franklin-Mckinley Elementary,2018,female
Steven,Sanchez,Franklin-McKinley Elementary,2022,male
Rudy,Rodriguez,Franklin-McKinley Elementary,2022,male
Marc,Cooper,Franklin-McKinley Elementary,2022,male
Lara,York,FREMONT UNIFIED,2010,female
Larry,Sweeney,FREMONT UNIFIED,2010,male
Lily,Mei,Fremont Unified,2012,female
Ann,Crosbie,Fremont Unified,2012,female
Desirie,Campbell,Fremont Unified,2012,female
Yang,Shao,Fremont Unified,2014,male
Larry,Sweeney,Fremont Unified,2014,male
Ann,Crosbie,Fremont Unified,2016,female
Michele,Berke,Fremont Unified,2016,female
Desrie.,Campbell,Fremont Unified,2016,female
Larry,Sweeney,Fremont Unified,2018,male
Dianne,Jones,Fremont Unified,2018,female
Vivek,Prasad,Fremont Unified,2020,male
Yajing,Zhang,Fremont Unified,2020,female
Desrie,Campbell,Fremont Unified,2020,female
Dianne,Jones,Fremont Unified,2022,female
Hung,Wei,FREMONT UNION HIGH,2010,female
Barbara,Nunes,FREMONT UNION HIGH,2010,female
William,Wilson,FREMONT UNION HIGH,2010,male
Jeff,Moe,Fremont Union High,2012,male
Nancy,Newton,Fremont Union High,2012,female
Roy,Rocklin,Fremont Union High,2016,male
Jeff,Moe,Fremont Union High,2016,male
Rosa,Kim,Fremont Union High,2018,female
Naomi,Nakano-Matsumoto,Fremont Union High,2018,female
William,Wilson,Fremont Union High,2018,male
Stanley,Kou,Fremont Union High,2022,male
Rosa,Kim,Fremont Union High,2022,female
Naomi,Nakano-Matsumoto,Fremont Union High,2022,female
Keith,Eubanks,FRESNO COUNTY OFFICE OF EDUCATION,2010,male
Ismael,Herrera,Fresno County Office of Education,2014,male
Keith,Eubanks,Fresno County Office of Education,2014,male
Mike,Robinson,Fresno County Office of Education,2016,male
Nelson,Esparza,Fresno County Office of Education,2016,male
Randy,Rocca,Fresno County Office of Education,2018,male
Kimberly,Tapscott-Munson,Fresno County Office of Education,2018,female
James,Martinez,Fresno County Office of Education,2020,male
Bryan,Burton,Fresno County Office of Education,2020,female
Marcia,Masumoto,Fresno County Office of Education,2022,male
Juan,Sandoval,Fresno County Office of Education,2022,female
Cal,Johnson,FRESNO UNIFIED,2010,male
Valerie,Davis,FRESNO UNIFIED,2010,female
Luis,Chavez,Fresno Unified,2012,male
Carol,Mills,Fresno Unified,2012,female
Janet,Ryan,Fresno Unified,2012,female
Valerie,Davis,Fresno Unified,2014,female
Cal,Johnson,Fresno Unified,2014,male
Brooke,Ashjian,Fresno Unified,2014,male
Claudia,Cazares,Fresno Unified,2016,female
Elizabeth,Jonasson,Fresno Unified,2016,female
Veva,Islas,Fresno Unified,2018,female
Terry,Slatic,Fresno Unified,2018,male
Keshia,Thomas,Fresno Unified,2018,female
Valerie,Davis,Fresno Unified,2018,female
Claudia,Cazares,Fresno Unified,2020,female
Carol,Mills,Fresno Unified,2020,female
Keshia,Thomas,Fresno Unified,2022,female
Valerie,Davis,Fresno Unified,2022,female
Veva,Islas,Fresno Unified,2022,female
Andy,Levine,Fresno Unified,2022,male
Susan,Wittrup,Fresno Unified,2022,female
Chris,Thompson,FULLERTON ELEMENTARY,2010,male
Beverly,Berryman,FULLERTON ELEMENTARY,2010,female
Janny,Catlin-Meyer,FULLERTON ELEMENTARY,2010,female
Jeanette,Vazquez,Fullerton Elementary,2016,female
Beverly,Berryman,Fullerton Elementary,2018,female
Janice,Meyer,Fullerton Elementary,2018,female
Ruthi,Hanchett,Fullerton Elementary,2022,female
Marilyn,Buchi,FULLERTON JOINT UNION HIGH,2010,female
Robert,Singer,FULLERTON JOINT UNION HIGH,2010,male
Robert,Hathaway,FULLERTON JOINT UNION HIGH,2010,male
Andy,Montoya,Fullerton Joint Union High,2012,male
Barbara,Kilponen,Fullerton Joint Union High,2012,female
Robert,Hathaway,Fullerton Joint Union High,2014,male
Robert,Singer,Fullerton Joint Union High,2014,male
Marilyn,Buchi,Fullerton Joint Union High,2014,female
Andy,Montoya,Fullerton Joint Union High,2016,male
Joanne,Fawley,Fullerton Joint Union High,2016,female
Chester,Jeng,Fullerton Joint Union High,2018,male
Regina,Cuadra,Fullerton Joint Union High,2018,female
Marilyn,Buchi,Fullerton Joint Union High,2018,female
Lauren,Klatzker,Fullerton Joint Union High,2018,female
Lauren,Klatzker,Fullerton Joint Union High,2022,female
William,Utile,GALT JOINT UNION ELEMENTARY,2010,male
Jennifer,Collier,GALT JOINT UNION ELEMENTARY,2010,female
Wesley,Cagle,GALT JOINT UNION ELEMENTARY,2010,male
Kevin,Papineau,GALT JOINT UNION ELEMENTARY,2010,male
Casey,Raboy,Galt Joint Union Elementary,2020,male
Traci,Skinner,Galt Joint Union Elementary,2020,female
Katherine,Harper,Galt Joint Union Elementary,2022,female
Gus,Prouty,GALT JOINT UNION HIGH,2010,male
Mark,Beck,GALT JOINT UNION HIGH,2010,male
Angela,Da Prato,GALT JOINT UNION HIGH,2010,female
Art,Oelsner,GALT JOINT UNION HIGH,2010,male
Terry,Parker-Owning,Galt Joint Union High,2012,male
Amy,Madison,Galt Joint Union High,2012,female
Joe,Guerrero,Galt Joint Union High,2014,male
Patrick,Maple,Galt Joint Union High,2014,male
Mark,Beck,Galt Joint Union High,2014,male
Angela,Daprato,Galt Joint Union High,2014,female
Angela,DaPrato,Galt Joint Union High,2014,female
Art,Oelsner,Galt Joint Union High,2014,male
Daniel,Denier,Galt Joint Union High,2016,male
Terry,Parker-Owning,Galt Joint Union High,2016,male
Dennis,Richardson,Galt Joint Union High,2018,male
Mark,Beck,Galt Joint Union High,2018,male
Melissa,Neuburger,Galt Joint Union High,2018,female
Patrick,Maple,Galt Joint Union High,2020,male
Terry,Parker,Galt Joint Union High,2020,male
Lan,Nguyen,GARDEN GROVE UNIFIED,2010,female
Bob,Harden,GARDEN GROVE UNIFIED,2010,male
Bao,Nguyen,Garden Grove Unified,2012,male
George,West,Garden Grove Unified,2012,male
Linda,Paulsen-Reed,Garden Grove Unified,2012,female
Dina,Nguyen,Garden Grove Unified,2016,female
Teri,Rocco,Garden Grove Unified,2016,female
Bob,Harden,Garden Grove Unified,2018,male
Dina,Nguyen,Garden Grove Unified,2020,female
Teri,Rocco,Garden Grove Unified,2020,female
Lan,Nguyen,Garden Grove Unified,2022,female
Henry,Lo,Garvey Elementary,2011,male
Janet,Chin,Garvey Elementary,2011,female
Maureen,Chin,Garvey Elementary,2013,female
Ronald,Trabanino,Garvey Elementary,2013,male
Bob,Bruesch,Garvey Elementary,2013,male
Henry,Lo,Garvey Elementary,2015,male
Keilley,Meng,Garvey Elementary,2015,female
Maureen,Chin,Garvey Elementary,2020,female
Bobbi,Bruesch,Garvey Elementary,2020,female
Ken,Matias,Gateway Unified,2012,male
Phil,Lewis,Gateway Unified,2012,male
Dale,Wallace,Gateway Unified,2014,male
Lynn,Giovannoni,Gateway Unified,2014,female
Dale,Wallace,Gateway Unified,2016,male
Dale,Wallace,Gateway Unified,2022,male
Cherrill,Clifford,Gateway Unified,2022,female
Lindsi,Haynes,Gateway Unified,2022,female
Casey,Bowden,Gateway Unified,2023,male
Anthony,Ruiz,GAVILAN JOINT COMMUNITY COLLEGE,2010,male
Walter,Glines,GAVILAN JOINT COMMUNITY COLLEGE,2010,male
Kent,Child,GAVILAN JOINT COMMUNITY COLLEGE,2010,male
Mark,Dover,Gavilan Joint Community College,2012,male
Kent,Child,Gavilan Joint Community College,2014,male
Lois,Locci,Gavilan Joint Community College,2014,female
Elizabeth,Dirks,Gavilan Joint Community College,2014,female
Laura,Perry,Gavilan Joint Community College,2014,female
Rachel,Perez,Gavilan Joint Community College,2016,female
Edwin,Diaz,Gavilan Joint Community College,2018,male
Irma,Gonzales,Gavilan Joint Community College,2018,female
Jeanie,Wallace,Gavilan Joint Community College,2018,female
Patricia,Mondragon,Gavilan Joint Community College,2020,female
Gabriel,Gutierrez,Gavilan Joint Community College,2022,male
Irma,Gonzalez,Gavilan Joint Community College,2022,female
Alicia,Cortez,Gavilan Joint Community College,2022,female
Kathy,Napoli,Gavilan Joint Community College,2022,female
Leane,Melo,General Shafter Elementary,2014,female
Gus,Vasquez,Gerber Union Elementary,2016,male
Cherrie,Kennedy,Gerber Union Elementary,2016,female
Cara,Sisneros,Gerber Union Elementary,2022,female
Jessica,Brown,Gerber Union Elementary,2022,female
Lauren,Burnette,Gerber Union Elementary,2022,female
Francisco,Dominguez,GILROY UNIFIED,2010,male
Tom,Bundros,GILROY UNIFIED,2010,male
Jaime,Rosso,GILROY UNIFIED,2010,male
Dom,Payne,GILROY UNIFIED,2010,male
Linda,Piceno,Gilroy Unified,2014,female
Patricia,Midtgaard,Gilroy Unified,2014,female
Heather,Bass,Gilroy Unified,2014,female
Jaime,Rosso,Gilroy Unified,2014,male
Mark,Good,Gilroy Unified,2016,male
James,Pace,Gilroy Unified,2016,male
BC,Doyle,Gilroy Unified,2016,male
Melissa,Aguirre,Gilroy Unified,2020,female
Mark,Good,Gilroy Unified,2020,male
Michelle,Nelson,Gilroy Unified,2020,female
Vahe,Peroomian,Glandale Community College,2015,male
Tony,Tartaglia,Glandale Community College,2015,male
Vahe,Peroomian,Glendale Community College,2011,male
Tony,Tartaglia,Glendale Community College,2011,male
Armine,Hacopian,Glendale Community College,2017,female
Yvetter,Davis,Glendale Community College,2017,female
Ann,Ransford,Glendale Community College,2017,female
Sevan,Benlian,Glendale Community College,2020,female
Desireé,Rabinov,Glendale Community College,2020,female
Nayiri,Nahabedian,Glendale Unified,2011,female
Mary,Boger,Glendale Unified,2011,female
Armina,Gharpetian,Glendale Unified,2013,female
Greg,Krikorian,Glendale Unified,2013,male
Christine,Walters,Glendale Unified,2013,female
Nayiri,Nahabedian,Glendale Unified,2015,female
Jennifer,Freemon,Glendale Unified,2015,female
Greg,Krikorian,Glendale Unified,2017,male
Shant,Sahakian,Glendale Unified,2017,male
Armina,Gharpetian,Glendale Unified,2017,female
Nayiri,Nahabedian,Glendale Unified,2020,female
Jennifer,Freemon,Glendale Unified,2020,female
Shant,Sahakian,Glendale Unified,2022,male
Ingrid,Gunnell,Glendale Unified,2022,female
Kathleen,Cross,Glendale Unified,2022,female
Douglas,Ferrell,Glendora Unified,2011,male
Doris,Blum,Glendora Unified,2011,female
Chuck,Gomer,Glendora Unified,2013,male
Cory,Ellenson,Glendora Unified,2013,male
Michael,Gautreau,Glendora Unified,2013,male
Maura,Murabito,Glendora Unified,2015,female
Robin,Merkley,Glendora Unified,2015,female
Monica,Garcia,Glendora Unified,2022,female
Gary,Clifford,Glendora Unified,2022,male
Susan,Polk,Glenn County Office of Education,2014,female
Janice,Cannon,Glenn County Office of Education,2014,female
Jamie,Withrow,Glenn County Office of Education,2022,female
Corinne,Enos,Glenn County Office of Education,2022,female
Kathy,Perez,GLENN COUNTY OFFICE OF EDUCATION - PRINCETON,2010,female
Suzy,Holtrichter,Gold Oak Union Elementary,2011,female
Kim,Nida,Gold Oak Union Elementary,2011,female
Roy,Boyd,Gold Oak Union Elementary,2022,male
Jerald,Soracco,Gold Oak Union Elementary,2022,male
Christina,Karle,Gold Oak Union Elementary,2022,female
Eddy,Klier,Gold Trail Union Elementary,2022,male
Greg,Clark,Gold Trail Union Elementary,2022,male
Julie,Bauer,Gold Trail Union Elementary,2022,female
Presentacion,Sanchez,GOLDEN PLAINS UNIFIED,2010,male
Leticia,Fernandez,GOLDEN PLAINS UNIFIED,2010,female
Maryann,Trujillo,GOLDEN PLAINS UNIFIED,2010,female
Maryann,Trujillo,Golden Plains Unified,2012,female
Edna,Munguia,Golden Plains Unified,2012,female
Kathy,Chaffin,Golden Plains Unified,2012,female
Celina,Rossetti,Golden Plains Unified,2012,female
Luis,Ramirez,Golden Plains Unified,2014,male
Richard,Gonzalez,Golden Plains Unified,2014,male
Maria,Gomez,Golden Plains Unified,2014,female
Leticia,Rodriguez,Golden Plains Unified,2016,female
Thomas,Fairless,Golden Plains Unified,2018,male
Leticia,Fernandez,Golden Plains Unified,2022,female
Betty,Vallejo,Golden Plains Unified,2022,female
Thomas,Fairless,Golden Plains Unified,2022,male
Sal,Parra,Golden Plains Unified-R,2015,male
Leticia,Fernandez,Golden Plains Unified-R,2015,female
Thomas,Fairless,Golden Plains Unified-R,2015,male
Maryann,Trujillo,Golden Plans Unified,2016,female
Celina,Rossetti,Golden Plans Unified,2016,female
Mona,Diaz,GOLDEN VALLEY,2010,female
Kathleen,Crumpton,GOLDEN VALLEY,2010,female
Brian,Freeman,GOLDEN VALLEY,2010,female
Steven,Lewis,Golden Valley Unified,2012,male
Carla,Neal,Golden Valley Unified,2014,female
John,Moseley,Golden Valley Unified,2014,male
Andy,Wheeler,Golden Valley Unified,2016,male
Mona,Diaz,Golden Valley Unified-R,2015,female
Maria,Knobloch,Golden Valley Unified-R,2015,female
Brian,Freeman,Golden Valley Unified-R,2015,female
Richard,Mayer,GOLETA UNION ELEMENTARY,2010,male
Pam,Kinsley,GOLETA UNION ELEMENTARY,2010,female
Valerie,Kushnerov,GOLETA UNION ELEMENTARY,2010,female
Luz,Reyes-Martin,Goleta Union Elementary,2018,female
Richard,Mayer,Goleta Union Elementary,2018,male
Carin,Ezal,Goleta Union Elementary,2018,female
Vicki,Ben-Yaacov,Goleta Union Elementary,2020,female
Sholeh,Jahangir,Goleta Union Elementary,2020,female
Emily,Zacarias,Goleta Union Elementary,2022,female
Richard,Mayer,Goleta Union Elementary,2022,male
Rosalie,Sanchez,Gonzales Unified,2013,female
Wendy,Franscioni,Gonzales Unified,2013,female
Elizabeth,Funk,Gonzales Unified,2013,female
Sonia,Jaramillo,Gonzales Unified,2015,female
Yolanda,Jimenez-Almanzar,Gonzales Unified,2015,female
Jose,Lopez,Gonzales Unified,2018,male
Maria,Cuevas,Gonzales Unified,2018,female
Araceli,Flores,Gonzales Unified,2018,female
Cesar,Ayon,Gonzales Unified,2020,male
Celeste,Daniel,Gonzales Unified,2020,female
Araceli,Flores,Gonzales Unified,2022,female
Chuck,Aukland,Grant Elementary,2012,male
Galen,Schmidt,Grant Elementary,2012,male
Michael,Sanchez,Grant Elementary,2018,male
Sami,Kadar,Grant Elementary,2018,male
Allen,Long,Grant Elementary,2018,male
Jeanne,Michael,GRASS VALLEY ELEMENTARY,2010,female
Paula,Roediger,GRASS VALLEY ELEMENTARY,2010,female
Bonnie,Taylor,GRASS VALLEY ELEMENTARY,2010,female
Lisa,Jarvis,Grass Valley Elementary,2018,female
Jeanne,Michael,Grass Valley Elementary,2018,female
Andrea,Bradley,Grass Valley Elementary,2018,female
George,Tavernas,Gratton Elementary,2013,male
Jim,Yardy,Gratton Elementary,2013,male
Philip,Wagner,Gratton Elementary,2013,male
Ruth,Villarreal,Gratton Elementary,2015,female
Kristin,Stackhouse-Johns,Gratton Elementary,2015,female
Steve,Schwartz,Gravenstein Union Elementary,2016,male
Desiree,Beck,Gravenstein Union Elementary,2016,female
Arthur,Salvagno,Greenfield Union Elementary,2011,male
Laura,Conle,Greenfield Union Elementary,2011,female
Jesus,Lepe,Greenfield Union Elementary,2013,male
Sandra,Cante,Greenfield Union Elementary,2013,female
Juergen,Smith,Greenfield Union Elementary,2013,male
